,Unnamed: 0,district,Event,circle,policeStation,source,eventType,eventSubType,time,lat,long
254,254,LUCKNOW,P29042118272,C1,PS1,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-04-29 22:49:00,26.833,81.024
280,280,LUCKNOW,P03052113907,C1,PS1,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-05-03 21:04:06,26.825,81.044
598,598,LUCKNOW,P14062114273,C1,PS1,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-06-14 21:34:02,26.831,81.008
900,901,LUCKNOW,P12042102343,C1,PS2,PHONE,Attempted Murder,Sharp Weapons,2021-04-12 08:41:00,26.849,80.993
1056,1057,LUCKNOW,P21042112685,C1,PS2,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-04-21 22:04:00,26.846,81.004
1072,1073,LUCKNOW,P22042108128,C1,PS2,PHONE,Attempted Murder,Sharp Weapons,2021-04-22 19:16:00,26.86,80.997
1143,1145,LUCKNOW,P26042117524,C1,PS2,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-04-26 23:17:00,26.859,80.994
1196,1198,LUCKNOW,P30042115921,C1,PS2,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-04-30 23:02:00,26.859,80.994
1316,1318,LUCKNOW,P14052101260,C1,PS2,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-05-14 04:17:42,26.859,81.001
1857,1859,LUCKNOW,P25062105894,C1,PS2,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-06-25 12:18:40,26.846,80.988
1921,1923,LUCKNOW,P28062115952,C1,PS2,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-06-28 22:34:13,26.842,80.997
2221,2223,LUCKNOW,P09042100308,C2,PS3,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-04-09 00:35:00,26.891,81.01
2422,2424,LUCKNOW,P15042115891,C2,PS3,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-04-15 22:05:00,26.876,81.055
2767,2769,LUCKNOW,P27042100901,C2,PS3,PHONE,Attempted Murder,Sharp Weapons,2021-04-27 01:18:00,26.861,81.039
2802,2804,LUCKNOW,P27042114052,C2,PS3,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-04-27 21:19:00,26.881,81.009
2809,2811,LUCKNOW,P27042116018,C2,PS3,PHONE,Attempted Murder,Throttling,2021-04-27 22:48:00,26.91,81.034
2810,2812,LUCKNOW,P27042116034,C2,PS3,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-04-27 22:48:00,26.894,81.009
2811,2813,LUCKNOW,P27042116050,C2,PS3,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-04-27 22:49:00,26.89,81.066
2903,2906,LUCKNOW,P01052100439,C2,PS3,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-05-01 00:33:59,26.874,81.026
2995,2998,LUCKNOW,P05052113591,C2,PS3,PHONE,Attempted Murder,Sharp Weapons,2021-05-05 22:12:31,26.883,81.034
3407,3410,LUCKNOW,P21052109462,C2,PS3,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-05-21 18:23:36,26.877,81.055
3441,3444,LUCKNOW,P23052100936,C2,PS3,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-05-23 02:12:26,26.889,81.012
3534,3537,LUCKNOW,P27052100052,C2,PS3,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-05-27 00:03:52,26.874,81.019
4051,4054,LUCKNOW,P16062105817,C2,PS3,PHONE,Attempted Murder,Throttling,2021-06-16 12:31:33,26.883,81.045
4656,4660,LUCKNOW,P22042111614,C2,PS4,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-04-22 22:36:00,26.868,81.006
4705,4709,LUCKNOW,P27042113734,C2,PS4,PHONE,Attempted Murder,Beaten With Lathi/Stick,2021-04-27 21:06:00,26.867,81.014
