,Unnamed: 0,district,Event,circle,policeStation,source,eventType,eventSubType,time,lat,long
11,11,LUCKNOW,P01042111576,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-01 22:14:00,26.833,81.026
18,18,LUCKNOW,P02042109110,C1,PS1,PHONE,Domestic Violence,Beat Children By Familymembers,2021-04-02 19:25:00,26.843,81.016
20,20,LUCKNOW,P02042111034,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-02 21:50:00,26.841,81.01
32,32,LUCKNOW,P03042110548,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-03 22:28:00,26.839,81.026
38,38,LUCKNOW,P04042101157,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-04 04:16:00,26.841,81.001
48,48,LUCKNOW,P04042113508,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-04 22:04:00,26.847,81.06
50,50,LUCKNOW,P05042104955,C1,PS1,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-04-05 12:54:00,26.843,81.025
53,53,LUCKNOW,P05042106467,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-05 15:24:00,26.825,81.012
61,61,LUCKNOW,P06042108172,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-06 18:19:00,26.847,81.031
64,64,LUCKNOW,P06042112282,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-06 23:04:00,26.822,81.018
65,65,LUCKNOW,P06042112907,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-06 23:54:00,26.825,81.012
80,80,LUCKNOW,P08042110382,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-08 21:16:00,26.85,81.036
109,109,LUCKNOW,P12042103722,C1,PS1,PHONE,Domestic Violence,Beat Children By Familymembers,2021-04-12 10:43:00,26.836,81.025
112,112,LUCKNOW,P12042107626,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-12 16:14:00,26.838,81.0
144,144,LUCKNOW,P15042107746,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,2021-04-15 13:57:00,26.85,81.048
145,145,LUCKNOW,P15042107768,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-15 13:59:00,26.842,81.047
164,164,LUCKNOW,P17042102742,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-17 08:38:00,26.836,81.02
166,166,LUCKNOW,P17042104001,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,2021-04-17 10:14:00,26.834,81.019
180,180,LUCKNOW,P18042106984,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-18 14:15:00,26.845,81.016
200,200,LUCKNOW,P20042111415,C1,PS1,PHONE,Domestic Violence,Husband Relatives To Beat Wife,2021-04-20 19:39:00,26.839,81.02
210,210,LUCKNOW,P21042108754,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-21 18:01:00,26.831,81.024
236,236,LUCKNOW,P27042103078,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,2021-04-27 08:33:00,26.837,81.02
239,239,LUCKNOW,P27042106865,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-27 13:20:00,26.842,81.037
241,241,LUCKNOW,P27042110733,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-27 18:23:00,26.833,81.022
242,242,LUCKNOW,P27042110893,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-27 18:33:00,26.833,81.022
243,243,LUCKNOW,P27042113099,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-27 20:38:00,26.842,81.063
246,246,LUCKNOW,P28042106929,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-28 13:36:00,26.844,81.062
263,263,LUCKNOW,P01052106331,C1,PS1,PHONE,Domestic Violence,Beat Children By Familymembers,2021-05-01 12:29:35,26.849,81.039
266,266,LUCKNOW,P01052107624,C1,PS1,PHONE,Domestic Violence,Other Kind Torturing To Senior Citizen,2021-05-01 14:25:02,26.841,81.002
267,267,LUCKNOW,P01052109081,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-01 16:34:18,26.833,81.017
271,271,LUCKNOW,P01052112820,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-01 20:59:45,26.849,81.039
283,283,LUCKNOW,P04052114046,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-04 21:24:51,26.835,81.014
284,284,LUCKNOW,P04052114843,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-04 22:10:37,26.835,81.014
