,Unnamed: 0,District,Event,Circle,Police Station,Caller Source,Event Type,Event Sub-Type,Create Date/Time,Latitude,Longitude,year,month,day,hour,minute,second,day_of_week,date,day_of_week_name
0,0,LUCKNOW,P01042100004,C1,PS1,PHONE,Information Against Police,Misbehavior By Prv,2021-04-01 00:00:00,26.834,81.008,2021,4,1,0,0,0,3,2021-04-01,Thursday
1,1,LUCKNOW,P01042104316,C1,PS1,PHONE,Threat In Person,Attack,2021-04-01 12:09:00,26.828,81.014,2021,4,1,12,9,0,3,2021-04-01,Thursday
2,2,LUCKNOW,P01042104847,C1,PS1,PHONE,Dispute,Dispute In Hospital,2021-04-01 12:51:00,26.84,81.009,2021,4,1,12,51,0,3,2021-04-01,Thursday
3,3,LUCKNOW,P01042105074,C1,PS1,PHONE,Gambling,Play Cards,2021-04-01 13:10:00,26.828,81.002,2021,4,1,13,10,0,3,2021-04-01,Thursday
4,4,LUCKNOW,P01042105152,C1,PS1,PHONE,Threat In Person,Attack,2021-04-01 13:18:00,26.834,81.033,2021,4,1,13,18,0,3,2021-04-01,Thursday
5,5,LUCKNOW,P01042105910,C1,PS1,PHONE,Missing,Grp- Person Accident By Train ,2021-04-01 14:19:00,26.826,81.011,2021,4,1,14,19,0,3,2021-04-01,Thursday
6,6,LUCKNOW,P01042106298,C1,PS1,PHONE,Information Against Police,Misbehavior By Ps Incharge,2021-04-01 14:51:00,26.835,81.008,2021,4,1,14,51,0,3,2021-04-01,Thursday
7,7,LUCKNOW,P01042106686,C1,PS1,PHONE,Theft,Gold Shop,2021-04-01 15:25:00,26.839,81.026,2021,4,1,15,25,0,3,2021-04-01,Thursday
8,8,LUCKNOW,P01042109479,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,2021-04-01 19:45:00,26.835,81.026,2021,4,1,19,45,0,3,2021-04-01,Thursday
9,9,LUCKNOW,P01042110068,C1,PS1,PHONE,Dispute,Money Transactions Dispute,2021-04-01 20:31:00,26.841,81.015,2021,4,1,20,31,0,3,2021-04-01,Thursday
10,10,LUCKNOW,P01042110781,C1,PS1,PHONE,Dispute,Money Transactions Dispute,2021-04-01 21:20:00,26.835,81.008,2021,4,1,21,20,0,3,2021-04-01,Thursday
11,11,LUCKNOW,P01042111576,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-01 22:14:00,26.833,81.026,2021,4,1,22,14,0,3,2021-04-01,Thursday
12,12,LUCKNOW,P01042112778,C1,PS1,PHONE,Threat In Person,Threatening To Kill,2021-04-01 23:51:00,26.835,81.014,2021,4,1,23,51,0,3,2021-04-01,Thursday
13,13,LUCKNOW,P02042104813,C1,PS1,PHONE,Threat In Person,Threatening To Kill,2021-04-02 13:05:00,26.838,81.009,2021,4,2,13,5,0,4,2021-04-02,Friday
14,14,LUCKNOW,P02042106822,C1,PS1,PHONE,Threat In Person,Threatening To Kill,2021-04-02 15:56:00,26.846,81.061,2021,4,2,15,56,0,4,2021-04-02,Friday
15,15,LUCKNOW,P02042107983,C1,PS1,PHONE,Property Disputes,House Capture,2021-04-02 17:43:00,26.844,81.031,2021,4,2,17,43,0,4,2021-04-02,Friday
16,16,LUCKNOW,P02042107998,C1,PS1,PHONE,Information Against Police,No Action Has Been Taken By Ps Incharge For Delivery Of Person Vehicle Goods By ,2021-04-02 17:44:00,26.845,81.042,2021,4,2,17,44,0,4,2021-04-02,Friday
17,17,LUCKNOW,P02042108844,C1,PS1,PHONE,Property Disputes,Boundary Dispute,2021-04-02 19:01:00,26.845,81.031,2021,4,2,19,1,0,4,2021-04-02,Friday
18,18,LUCKNOW,P02042109110,C1,PS1,PHONE,Domestic Violence,Beat Children By Familymembers,2021-04-02 19:25:00,26.843,81.016,2021,4,2,19,25,0,4,2021-04-02,Friday
19,19,LUCKNOW,P02042110067,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-02 20:45:00,26.842,81.016,2021,4,2,20,45,0,4,2021-04-02,Friday
20,20,LUCKNOW,P02042111034,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-02 21:50:00,26.841,81.01,2021,4,2,21,50,0,4,2021-04-02,Friday
21,21,LUCKNOW,P02042112483,C1,PS1,PHONE,Theft,Other Location,2021-04-02 23:26:00,26.831,81.045,2021,4,2,23,26,0,4,2021-04-02,Friday
22,22,LUCKNOW,P02042112668,C1,PS1,PHONE,Threat In Person,Attack,2021-04-02 23:46:00,26.832,80.999,2021,4,2,23,46,0,4,2021-04-02,Friday
23,23,LUCKNOW,P03042100124,C1,PS1,PHONE,Theft,Two Wheeler Vehicle,2021-04-03 00:20:00,26.825,81.012,2021,4,3,0,20,0,5,2021-04-03,Saturday
24,24,LUCKNOW,P03042100442,C1,PS1,PHONE,Illegal Mining,Illegal Mining Land,2021-04-03 01:20:00,26.834,81.031,2021,4,3,1,20,0,5,2021-04-03,Saturday
25,25,LUCKNOW,P03042101913,C1,PS1,PHONE,Suicide,By Hanging,2021-04-03 08:40:00,26.84,81.025,2021,4,3,8,40,0,5,2021-04-03,Saturday
26,26,LUCKNOW,P03042102094,C1,PS1,PHONE,Dispute,Money Transactions Dispute,2021-04-03 08:57:00,26.836,81.022,2021,4,3,8,57,0,5,2021-04-03,Saturday
27,27,LUCKNOW,P03042102141,C1,PS1,PHONE,Suicide,By Hanging,2021-04-03 09:02:00,26.839,81.026,2021,4,3,9,2,0,5,2021-04-03,Saturday
28,28,LUCKNOW,P03042102919,C1,PS1,PHONE,Theft,Other Location,2021-04-03 10:20:00,26.839,81.026,2021,4,3,10,20,0,5,2021-04-03,Saturday
29,29,LUCKNOW,P03042102973,C1,PS1,PHONE,Theft,Residential Building,2021-04-03 10:26:00,26.848,81.048,2021,4,3,10,26,0,5,2021-04-03,Saturday
30,30,LUCKNOW,P03042108860,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-03 19:44:00,26.833,81.036,2021,4,3,19,44,0,5,2021-04-03,Saturday
31,31,LUCKNOW,P03042109069,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-03 20:02:00,26.843,81.024,2021,4,3,20,2,0,5,2021-04-03,Saturday
32,32,LUCKNOW,P03042110548,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-03 22:28:00,26.839,81.026,2021,4,3,22,28,0,5,2021-04-03,Saturday
33,33,LUCKNOW,P03042111216,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-03 22:59:00,26.84,81.025,2021,4,3,22,59,0,5,2021-04-03,Saturday
34,34,LUCKNOW,P03042111699,C1,PS1,PHONE,Threat In Person,Attack,2021-04-03 23:32:00,26.838,81.038,2021,4,3,23,32,0,5,2021-04-03,Saturday
35,35,LUCKNOW,P03042111732,C1,PS1,PHONE,Threat In Person,Threatening To Kill,2021-04-03 23:35:00,26.831,81.052,2021,4,3,23,35,0,5,2021-04-03,Saturday
36,36,LUCKNOW,P04042100035,C1,PS1,PHONE,Threat In Person,Threatening To Kill,2021-04-04 00:03:00,26.827,81.042,2021,4,4,0,3,0,6,2021-04-04,Sunday
37,37,LUCKNOW,P04042100052,C1,PS1,PHONE,Threat In Person,Threatening To Kill,2021-04-04 00:05:00,26.831,81.052,2021,4,4,0,5,0,6,2021-04-04,Sunday
38,38,LUCKNOW,P04042101157,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-04 04:16:00,26.841,81.001,2021,4,4,4,16,0,6,2021-04-04,Sunday
39,39,LUCKNOW,P04042101421,C1,PS1,PHONE,Threat In Person,Attack,2021-04-04 05:47:00,26.835,81.007,2021,4,4,5,47,0,6,2021-04-04,Sunday
40,40,LUCKNOW,P04042102030,C1,PS1,PHONE,Dispute,Money Transactions Dispute,2021-04-04 07:25:00,26.836,81.022,2021,4,4,7,25,0,6,2021-04-04,Sunday
41,41,LUCKNOW,P04042102305,C1,PS1,PHONE,Theft,Residential Building,2021-04-04 07:56:00,26.847,81.039,2021,4,4,7,56,0,6,2021-04-04,Sunday
42,42,LUCKNOW,P04042104429,C1,PS1,PHONE,Dispute,Money Transactions Dispute,2021-04-04 10:57:00,26.851,81.049,2021,4,4,10,57,0,6,2021-04-04,Sunday
43,43,LUCKNOW,P04042105811,C1,PS1,PHONE,Corona,Suspect Found Infected,2021-04-04 12:38:00,26.836,81.0,2021,4,4,12,38,0,6,2021-04-04,Sunday
44,44,LUCKNOW,P04042107646,C1,PS1,PHONE,Cyber Crimes,Bank Account Hacking,2021-04-04 14:35:00,26.837,81.024,2021,4,4,14,35,0,6,2021-04-04,Sunday
45,45,LUCKNOW,P04042108639,C1,PS1,PHONE,Theft,Residential Building,2021-04-04 15:48:00,26.825,81.028,2021,4,4,15,48,0,6,2021-04-04,Sunday
46,46,LUCKNOW,P04042112855,C1,PS1,PHONE,Female Sexual Harrassment,Teasing On Public Place,2021-04-04 21:28:00,26.841,81.022,2021,4,4,21,28,0,6,2021-04-04,Sunday
47,47,LUCKNOW,P04042112928,C1,PS1,PHONE,Unclaimed Information,Unclaimed Men,2021-04-04 21:32:00,26.84,81.009,2021,4,4,21,32,0,6,2021-04-04,Sunday
48,48,LUCKNOW,P04042113508,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-04 22:04:00,26.847,81.06,2021,4,4,22,4,0,6,2021-04-04,Sunday
49,49,LUCKNOW,P05042100564,C1,PS1,PHONE,Threat In Person,Attack,2021-04-05 01:38:00,26.838,80.989,2021,4,5,1,38,0,0,2021-04-05,Monday
50,50,LUCKNOW,P05042104955,C1,PS1,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-04-05 12:54:00,26.843,81.025,2021,4,5,12,54,0,0,2021-04-05,Monday
51,51,LUCKNOW,P05042105023,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-05 13:02:00,26.845,81.02,2021,4,5,13,2,0,0,2021-04-05,Monday
52,52,LUCKNOW,P05042105414,C1,PS1,PHONE,Threat In Person,Threatening To Kill,2021-04-05 13:40:00,26.842,81.029,2021,4,5,13,40,0,0,2021-04-05,Monday
